Date,Price,Open,High,Low,Volume,Chg%
23-11-2020,49555,50323.0,50400.0,49385.0,34510.0,-1.44
24-11-2020,48683,49429.0,49429.0,48621.0,35190.0,-1.76
25-11-2020,48568,48614.0,48981.0,48486.0,27980.0,-0.24
26-11-2020,48597,48600.0,48840.0,48495.0,19380.0,0.06
27-11-2020,48189,48587.0,48668.0,47879.0,23050.0,-0.84
30-11-2020,47898,47889.0,48075.0,47526.0,2040.0,-0.6
01-12-2020,48641,48200.0,48937.0,47809.0,360.0,1.55
02-12-2020,48959,48630.0,49080.0,48377.0,380.0,0.65
03-12-2020,49061,49210.0,49334.0,48881.0,650.0,0.21
04-12-2020,49322,49054.0,49606.0,47651.0,110.0,0.53
07-12-2020,49923,49376.0,49991.0,48867.0,31170.0,1.22
08-12-2020,50049,50100.0,50122.0,49710.0,26650.0,0.25
09-12-2020,49256,49961.0,49961.0,49124.0,32650.0,-1.58
10-12-2020,49081,49256.0,49470.0,48968.0,27640.0,-0.36
11-12-2020,49306,49102.0,49395.0,48903.0,26230.0,0.46
14-12-2020,48916,49255.0,49255.0,48659.0,29840.0,-0.79
15-12-2020,49416,48989.0,49522.0,48984.0,28740.0,1.02
16-12-2020,49544,49500.0,49784.0,49422.0,30230.0,0.26
17-12-2020,50263,49649.0,50425.0,49649.0,35230.0,1.45
18-12-2020,50100,50110.0,50283.0,49885.0,25050.0,-0.32
21-12-2020,50146,50199.0,50716.0,49465.0,39390.0,0.09
22-12-2020,49768,50224.0,50287.0,49667.0,24490.0,-0.75
23-12-2020,49909,49771.0,50020.0,49466.0,26910.0,0.28
24-12-2020,49787,50021.0,50049.0,49630.0,18140.0,-0.24
28-12-2020,49761,49900.0,50318.0,49711.0,25620.0,-0.05
29-12-2020,49722,49820.0,49899.0,49600.0,13260.0,-0.08
30-12-2020,49881,49840.0,49950.0,49599.0,3650.0,0.32
31-12-2020,50081,49940.0,50139.0,49778.0,390.0,0.4
01-01-2021,50081,50123.0,50202.0,50003.0,50.0,0.0
04-01-2021,51349,50715.0,51493.0,50654.0,150.0,2.53
05-01-2021,51456,51334.0,51549.0,51202.0,150.0,0.21
06-01-2021,50545,51564.0,51857.0,50468.0,47140.0,-1.77
07-01-2021,50918,50632.0,51045.0,50632.0,28490.0,0.74
08-01-2021,49035,50818.0,50824.0,48855.0,58390.0,-3.7
11-01-2021,49386,48835.0,49435.0,48578.0,34630.0,0.72
12-01-2021,49098,49333.0,49620.0,49000.0,28650.0,-0.58
13-01-2021,49354,49248.0,49497.0,49210.0,21700.0,0.52
14-01-2021,49238,49321.0,49321.0,48807.0,29610.0,-0.24
15-01-2021,48745,49277.0,49328.0,48600.0,30090.0,-1.0
18-01-2021,48918,48701.0,49000.0,48588.0,17920.0,0.35
19-01-2021,49011,48918.0,49082.0,48775.0,23140.0,0.19
20-01-2021,49528,49097.0,49614.0,48836.0,36370.0,1.05
21-01-2021,49418,49600.0,49743.0,49315.0,23310.0,-0.22
22-01-2021,49131,49397.0,49397.0,48711.0,30380.0,-0.58
25-01-2021,49144,49137.0,49321.0,48936.0,24630.0,0.03
27-01-2021,48879,48919.0,48985.0,48554.0,25140.0,-0.54
28-01-2021,48672,48699.0,49248.0,48568.0,28330.0,-0.42
29-01-2021,49111,48672.0,49490.0,48672.0,27930.0,0.9
01-02-2021,48424,49298.0,49438.0,47425.0,3140.0,-1.4
02-02-2021,47752,48344.0,48344.0,47531.0,380.0,-1.39
03-02-2021,47703,47890.0,47925.0,47639.0,190.0,-0.1
04-02-2021,46695,47050.0,47575.0,46501.0,140.0,-2.11
05-02-2021,46978,46602.0,47100.0,46601.0,30.0,0.61
08-02-2021,47726,47147.0,47828.0,47064.0,29170.0,1.59
09-02-2021,47818,47850.0,48061.0,47651.0,27330.0,0.19
10-02-2021,47863,47930.0,48136.0,47711.0,27630.0,0.09
11-02-2021,47377,47742.0,47950.0,47333.0,24860.0,-1.02
12-02-2021,47169,47670.0,47670.0,47012.0,30720.0,-0.44
15-02-2021,47118,47200.0,47297.0,47064.0,15390.0,-0.11
16-02-2021,46777,47118.0,47325.0,46600.0,37740.0,-0.72
17-02-2021,46134,46700.0,46709.0,46088.0,34790.0,-1.37
18-02-2021,46046,46244.0,46379.0,45955.0,28540.0,-0.19
19-02-2021,46095,45970.0,46359.0,45805.0,30680.0,0.11
22-02-2021,46782,46297.0,46840.0,46125.0,30050.0,1.49
23-02-2021,46632,46890.0,46890.0,46430.0,22890.0,-0.32
24-02-2021,46369,46580.0,46715.0,46160.0,21710.0,-0.56
25-02-2021,46085,46321.0,46496.0,45976.0,24510.0,-0.61
26-02-2021,45569,45911.0,46516.0,45475.0,32960.0,-1.12
01-03-2021,45021,46187.0,46188.0,44910.0,5190.0,-1.2
02-03-2021,45224,44945.0,45431.0,44873.0,320.0,0.45
03-03-2021,44721,45267.0,45267.0,44472.0,30.0,-1.11
04-03-2021,44581,44686.0,44686.0,44370.0,10.0,-0.31
05-03-2021,44442,44279.0,44499.0,44188.0,50.0,-0.31
08-03-2021,44233,44720.0,44775.0,44163.0,29840.0,-0.47
09-03-2021,44844,44299.0,44918.0,44280.0,29790.0,1.38
10-03-2021,44774,44750.0,44920.0,44636.0,22090.0,-0.16
11-03-2021,44876,44950.0,45135.0,44785.0,15840.0,0.23
12-03-2021,44737,44740.0,44779.0,44310.0,32180.0,-0.31
15-03-2021,44906,44860.0,45038.0,44763.0,21500.0,0.38
16-03-2021,44820,44962.0,45071.0,44775.0,18920.0,-0.19
17-03-2021,44848,44902.0,45018.0,44750.0,18240.0,0.06
18-03-2021,44942,45000.0,45300.0,44625.0,33560.0,0.21
19-03-2021,45008,44946.0,45125.0,44818.0,18820.0,0.15
22-03-2021,44885,44922.0,45019.0,44632.0,20260.0,-0.27
23-03-2021,44636,44910.0,44984.0,44584.0,19810.0,-0.55
24-03-2021,44841,44786.0,44880.0,44679.0,16570.0,0.46
25-03-2021,44726,44870.0,45025.0,44610.0,22460.0,-0.26
26-03-2021,44629,44652.0,44759.0,44437.0,22630.0,-0.22
29-03-2021,43754,44474.0,44560.0,43621.0,11180.0,-1.96
30-03-2021,43941,43950.0,44200.0,43819.0,1900.0,0.43
31-03-2021,44418,43899.0,44529.0,43735.0,330.0,1.09
01-04-2021,44957,44500.0,45002.0,44500.0,150.0,1.21
05-04-2021,44985,44918.0,45050.0,44805.0,310.0,0.06
06-04-2021,45685,45257.0,45730.0,45250.0,17870.0,1.56
07-04-2021,46128,45600.0,46180.0,45518.0,21450.0,0.97
08-04-2021,46576,46041.0,46620.0,46015.0,21420.0,0.97
09-04-2021,46344,46458.0,46674.0,46085.0,21980.0,-0.5
12-04-2021,46188,46333.0,46514.0,46162.0,18010.0,-0.34
13-04-2021,46674,46202.0,46750.0,46125.0,20250.0,1.05
14-04-2021,46317,46650.0,46659.0,46180.0,12630.0,-0.76
15-04-2021,46881,46370.0,46973.0,46370.0,21620.0,1.22
16-04-2021,47022,46808.0,47097.0,46511.0,23540.0,0.3
19-04-2021,47084,47025.0,47500.0,47000.0,24590.0,0.13
20-04-2021,47498,47111.0,47538.0,46712.0,27160.0,0.88
21-04-2021,47892,47531.0,48035.0,47531.0,15990.0,0.83
22-04-2021,47426,47893.0,47936.0,47355.0,22210.0,-0.97
23-04-2021,47169,47534.0,47667.0,47046.0,24780.0,-0.54
26-04-2021,47117,47280.0,47280.0,46939.0,18480.0,-0.11
27-04-2021,46960,47090.0,47187.0,46920.0,13460.0,-0.33
28-04-2021,46697,46890.0,46890.0,46471.0,17680.0,-0.56
